content,sentiment
insyalloh bermafaat,POSITIF
Nyusahin,NEGATIF
Oke,POSITIF
Bagus,POSITIF
Tuti firman wati tel,NEGATIF
Ga berfungsi ga bisa dibuka,NEGATIF
Ok,POSITIF
Xx,NEGATIF
Lumayanlah,POSITIF
Minta update teruuusssss,NEGATIF
"Saya sudah vaksin booster di Gor bekasi tp ,sudah 1 minggu lebih belum keluar sertifikatnya,tolong yang tugas hari minggu di gor bekasi segera bertanggung jawab input data yg benar,terima kasih",NEGATIF
Ok,POSITIF
"Aplikasi asu ga kode qr ga bisa, liat hasil vaksin ga bisa",NEGATIF
Mom I Ijolo Idols y.poo poppoo Milk. OOOIKM olo l yn. Ok Oo Kdx waffles O mood O k.! y. Morning Ppo I. hy m k O thunder⚡hmmm pop ok Ppo loopO,POSITIF
Baik sekali,POSITIF
Aplikasi nyusahin bangsad,NEGATIF
Terbaik,POSITIF
Membingungkan dan muter2,NEGATIF
Okeeee,POSITIF
"Aplikasinya kalau buat download sertifikat vaksin terlalu rumit. Harus ngisi banyak biodata, apalagii pas ngisi menu tanggal lahir ituu tidak bisa diketik manual, haruss nyari satu satu, kalau tahun lahirnya tahun 80 an yang nyari kelamaan, ujung ujungnya pas nyampek tahun 2000 an aplikasinya not responding, ujung ujungnya nge close sendiri, dan harus mulai dari awal lagi. Perlu diperbaiki lagi sih buat menu2 nya. Sekiranya yg sedikit simple, biar orang yang udah tua2 juga gak kesusahan ngakses.",NEGATIF
Tolong tanda hapus di sertifikat faksin dihilangin bahya bila kepencet,POSITIF
"Knpa ya stiap scan di mall atau manapun yg mengharuskan scan dg Pedulilindungi selalu merah lalu tertulis ""belum melakukan vaksinasi"", pdhal sudah vaksin 3x dan sertifikat sudah tertera di aplikasi Pedulilindungi.. Apa yg salah? 😕",NEGATIF
"Kenapa setelah d perbaharui jadi susah buka aplikasinya dan gak bisa lihat sertipikat vaksin ke 3,tolonggg ini aplikasinya gimana?🤦",NEGATIF
Ok,POSITIF
Baik,POSITIF
Di update malah belum memiliki sertifikat vaksin padahal sudah vaksin 3x,NEGATIF
baik,POSITIF
ok,POSITIF
ok,POSITIF
Sekarang makin kesni makin ribet masa iya kita uda masukin data data malah suru masukin data vaksin nya apa tgl brp Kan makin ribet lebih bagusan yg dulu lansung muncul sertifikat vaksin sekarang ma kudu cari lagi makin ribet,NEGATIF
Sangat baik,POSITIF
"Tksi bpk deni (admin) , akhir nya atas bantuan bapak deni sertifikat saya sudah sesuai dengan Nik E-ktp saya.. Tksi",POSITIF
Lebih muda dan simpel untuk mengetaui hasil vaksin di manapun kita berada,POSITIF
"gak suka aku sama pejabat yang ada di kominfo, bakar aja, kurang guna tapi nyusahin masyatakat",NEGATIF
Gak bisa diinstal,NEGATIF
Bagus,POSITIF
Sangat membantu,POSITIF
Terbaik,POSITIF
"Proses lama dan tidak praktis modulnya, beri gambar dan sekali pencet keluar hasilnya",POSITIF
Baik,POSITIF
Top banget,POSITIF
Bagus sangat membantu,POSITIF
TOP BGT,POSITIF
Baik,POSITIF
Nyaman sekali,POSITIF
Ok,POSITIF
"Susah dan ribet mau cetak sertifikat vaksin 1,2 dan3",NEGATIF
"Kecewa aja, pas mau isi data profil dan udh sesuai nik di ktp tpi ttp aja gabisa",NEGATIF
"Sudah vaksin tiga kali,tp sertifikat tidak ada..padahal sebelum di update saat cek sertifikat langsung muncul..,sudah klaim sertifikat dan isi data tp tanggal vaksin dibilang salah padahal tanggal sudah sesuai",NEGATIF
Membantu kepergian kemana kemana dan kerja samanya cpt proses nya,POSITIF
Good,POSITIF
tidak di operasional kan dg baik di semua titik,NEGATIF
Bagus,POSITIF
Hih,NEGATIF
Setiap chek in gagal terus padahal signal bagus tolong diperbaiki,NEGATIF
Bagus,POSITIF
Bagus saya suka dengan aplikasi,POSITIF
Oke,POSITIF
Bgs,POSITIF
lemot,NEGATIF
Amazing....guys,POSITIF
Sangat membantu sekali untuk melihat hasil vaksidasi,POSITIF
Keren makin terdepan peduli lindungi,POSITIF
Ok,POSITIF
"Keep up the good work, teruslah berinovasi aplikasi Peduli Lindungi 😄👍🏻",POSITIF
Makin update makin update aplikasi nya makin lemot and banyak bug. Ga bisa save sertifikat. And sertifikat ke zoom sendiri waktu d klik. Tolo perbaiki scepat nya,NEGATIF
Good,POSITIF
Good apl,POSITIF
Kdg susah digunakan,POSITIF
Mantab,POSITIF
Gw udah vaksin 3x tp d akui vaksin 2.gmn tuh tele dokternya. Alasan 1 kena DI trus apa bedanya dgn ibu hamil yg d pending knp gk d DO,NEGATIF
Kok tidak bisa di instal? Kenapw?,NEGATIF
Top,POSITIF
"Sudah vaksin dosis ke 3 tanggal 3 agustus 2022 di puskesmas pabuaran indah cilangkap cibinong(polres bogor)tapi sertifikatnya blum muncul"",sedangkan temen saya vaksin tanggal 4 agustus 2022 besok sorenya langsung turun sertifikatnya,ga adil bgt buat saya padahal saya butuh bgt buat kerjaan saya yg sebagai ojol ya notabane nya kadang keluar masuk mall atau perusahaan"" yg mengharuskan scan pedulilindungi",NEGATIF
"Bagus, kembangkan terus fungsi aplikasinya.",POSITIF
Setelah up date . Gagal paham. Sertifikat jadi dosis 1 semua,NEGATIF
Jauhkan diri kita dari virus,NEGATIF
Ok,POSITIF
"Aplikasi ngak jelas, mau klaim sertifikat vaksin buat perjalanan Internasional susah nya minta ampun. Pantes ngak maju-maju,, hal-hal mudah di buat sulit.",NEGATIF
Mantap,POSITIF
Mantap IT nya,POSITIF
Kecewa ternyata ga dienkripsi datanya😅 padahal udah mayan bagus.,NEGATIF
Peduli lindungi sangat membantu data personal,POSITIF
Bagus sangat membantu,POSITIF
Gak bantu juga kemeskes ri,NEGATIF
bagus,POSITIF
Bagus,POSITIF
Bagus,POSITIF
Ok,POSITIF
Bgus,POSITIF
Ń. Nñnñ n.,NEGATIF
Saya mau tanya kalau sudah daftar terus saya mau login lg dengan nomer yg berbeda gak bisa ya?saya ganti nomer dan prtama saya daftar saya sudah vaksin 1 tp ko di apl ini gak ada ya status sudah di vaksin.,NEGATIF
Bagus,POSITIF
Ok,POSITIF
lbh mudah,POSITIF
Baik,POSITIF
"Saya mau beri masukkan, tolong dibuat fitur ""keluarkan akun di semua device""",POSITIF
Bagussss,POSITIF
Kode Verifikasi tidak bisa terkirim ke nomer yg saya masukan,NEGATIF
Ok,POSITIF
punya saya gagal check in terus,NEGATIF
Keren,POSITIF
Ok,POSITIF
Saya sampai hari ini belum dapat vaksin blooster ( vaksin ke-3) mohon informasi jika ada ditempat tinggwl saya Jl Banyu Urip no. 10,NEGATIF
Mantap,POSITIF
Bagus,POSITIF
Mohon di perbaiki saya sdah vaksin tetapi tiket pesawat saya tidak bisa di cekin Karena di peduli lindungi tidak ada bukti untuk bisa terbang mohon secepatnya jangan di jawab lalu dibiarkan begitu saja saya jadi sulit untuk berpergian !!!!!! Apaguna kalo aplikasi ada tapi sistem nya penuh bug,NEGATIF
Untuk penulisan tanggal sbaiknya manual saja . Ngga perlu pake bentuk kalender . Ribet yo ngoh cengoh ... perbaiki,NEGATIF
Gg,POSITIF
sudah vaksin 1.2.3 tapi tercatat hanya 1.2 ..bertanya via email ke pedulilindungi disuruh tanya dan input di faskes tempat vaksin..setelah di faskes tempat vaksin malah disuruh email dan bertanya lagi ke pedulilindungi.. telpon ke CS susah . Whatsaap jawabannya dr system dan tidak memberi solusi apa ini? lempar sana lempar sini. apa yang PEDULI apa yang di LINDUNGI? Program konyol sekali.,NEGATIF
Kemarin masih bisa log in disalah satu mall di Jakarta barat hari ini tidak bisa log in keterangannya belum melakukan vaksin padahal di peduli lindung sudah ada sertifikat vaksin ke 3 nya.tolong jangan di persulit.,NEGATIF
Bagus,POSITIF
Bagus,POSITIF
Ok,POSITIF
Aku sudah pakzin boster kemarin hari rabu tapi belum ada kartux kapan ya?,POSITIF
Aplikasi sangat membantu,POSITIF
Ok 👍,POSITIF
Ok,NEGATIF
Sangat puas dengan amplikasi peduli lindungi sangat mudah untuk perjalanan,POSITIF
Ok,POSITIF
Ok,POSITIF
Ok,POSITIF
Ok,POSITIF
Sangat membantu,POSITIF
Hilang terus sertifikatnya,NEGATIF
Top markotop,POSITIF
Semoga sehat selalu dan di mudahkan segala urusannya oleh allah swt,POSITIF
ya baguslah,POSITIF
Good,POSITIF
Benar benar aplikasi super!,POSITIF
Mantap,POSITIF
Byk yg GK kluar,POSITIF
sangat sulit di konfir sudah madukan 6 dijit tapi ga masuk masuk,NEGATIF
👍,POSITIF
Good,POSITIF
"Minta di update terus padahal jarang di pake, kalo mau bantu masyarakat , jangan nyusahin,,,, tolong perbaiki sistemnya biar ga minta terus terusan di update , aplikasi pemerintah ko kaya aplikasi konvensional😂😂",NEGATIF
Sangat memuaskan,POSITIF
Sertifikat vaksin saya 1 & 2 belum muncul juga,POSITIF
Mataaaappppp,POSITIF
Bermanfaat,POSITIF
Sangat bayik,POSITIF
Mantap,POSITIF
Aplikasi yang sangat membantu,POSITIF
Sangat bagus,POSITIF
Eror mulu,NEGATIF
"Indonesia ruwet, pikirannya uang dan uang",NEGATIF
Gak boleh eror,NEGATIF
Ok,POSITIF
"Bagus sangat membantu pengecekan vaksin dan sertifikat, smoga aplikasi lancar sehingga mempermudah yang membutuhkanya.👍🙏",POSITIF
"setelah diupdate kok mala jadi lambat,gabisa download sertifikat vaksin nya.",NEGATIF
Sudah vaksin booster sudah ada sertifikat tapi tiap check in tempat umum gagal,NEGATIF
Sangat mendukung,POSITIF
"Aplikasinya seperti belum siap, sering eror / gak bisa dibuka aplikasinya",NEGATIF
"ini kan aplilasi bs d bilang setiap org harus punya knp update bruny bs instal di os hp 6, iy klu hp ny bs ikut update klu endk repot gini",NEGATIF
Wdyu,NEGATIF
Ok,POSITIF
Ok,POSITIF
Mantap,POSITIF
Sangat bermanfaat,POSITIF
Mempermudah,POSITIF
Sangat membantu banget,POSITIF
Tidak Bisa Scan Check In Gagal Mulu Tolong Update Versi Barunya Min,POSITIF
Ok,POSITIF
intinya kecewa..,NEGATIF
Mantapppp,POSITIF
Sangat membantu sekali🙏,POSITIF
Gagal login terus,NEGATIF
Sangat membantu,POSITIF
aplikasi gak bisa di buka,POSITIF
"mau login dan sudah dikirim verifikasi kode 6 digit via email, ketika masuk aplikasi peduli lindungi dan dimasukkan kode nya malah muncul pesan di layar "" username is not allowed to be empty "" tolong di respon admin kenapa bisa terjadi kayak gini !!!!!",NEGATIF
Aplikasi tak bermutu,NEGATIF
Bagus,POSITIF
"Kenapa ya setiap check in selalu gagal. Pembaharuan sudah, dicoba hp yg lain juga gagal.",NEGATIF
Bagus buat di bawa bawa tinggal bawa Hp,POSITIF
"Apakah memang selama ini input data untuk sertifikat booster, selalu lelet update data",NEGATIF
Bagus,POSITIF
Terimaksih telah mmbantu,POSITIF
Setelah d vaksin booster malah gak update appsnya. Gak bs scan. Tp sertifiktnya ud update. Aneh. Trs komplain cs nya mlh d sarnin scan pake apps lain kayak traveloka dll. Gak solutif. Sampe skrg gak bs,NEGATIF
"Hp saya tidak mendukung untuk aplikasi peduli lindungi, padahal aplikasi2 lain terinstal dengan lancar",NEGATIF
Aplikasi gak jelas.... Ruwet kayak Birokrasi +62,NEGATIF
Aplikasinya tidak bisa dibuka.. kenapa?,NEGATIF
Bagus dan membantu,POSITIF
Sangat membantu dalam melakukan perjalanan jauh 👍,POSITIF
Mantap,POSITIF
FULL NAME NOT MATCH TERUS SAAT CLAIM SERTIF. MAUNYA APA SI. KALO BELOM BENER JANGAN DIBIKIN SYARAT YA.,NEGATIF
maksa in,NEGATIF
Kok data saya tidak nampak ya.,POSITIF
Ok bgt,POSITIF
Membantu sekali,POSITIF
"Parah, udah vaksin booster tapi sertifikat belum muncul, hubungi sana sini dilempar sana sini? Solusi datang ke tempat pihak penyelenggara vaksin booster? Kalo tutup cari kemana lagi?",NEGATIF
Sangat membantu,POSITIF
Error mulu g bisa check in,NEGATIF
Bagus,POSITIF
Very Goods,POSITIF
Nge lag terus,NEGATIF
"VAKSIN KE 3 GA DI KASIH SURAT KETERANGAN, DI APLIKASI GA KE DATA. GA JELAS.. BAKAL AKU BINTANG 5 KALO UDAH BENER",NEGATIF
Aplikasi berfungsi dengan baik dan sangat membantu,POSITIF
sangat bagus,POSITIF
"layanan buruk, saya sudah vaksin dosis kedua. tetapi di sertifikat malah tertulis dosis pertama",NEGATIF
Tidak bisa buka kamera,NEGATIF
Sangat membantu.terima kasih.,POSITIF
Sangat bermanfaat,POSITIF
Cuh..unit..i l 9. Ib hepatitis bu cun H om,POSITIF
Tidak bisa download kenapa ya,NEGATIF
mantap,POSITIF
Apk gaguna,NEGATIF
"Aplikasi buruk sekali, pelayanan pengaduan sama sekali susah untuk di adukan, nomor selalu tidak bisa menjawab keluhan warga masyarakat, wa dijawab oleh sistem bot, sangat² buruk sekali",NEGATIF
Good,POSITIF
Apilkasi ini bagus menbantu di perjalanan saya walaupun kadan error close.,POSITIF
Aplikasi ngeribetin sering ngelag jadi gak bisa masuk mol sueee2,NEGATIF
is the best,POSITIF
Kenapa tidak bisa di instal di smartphone saya,NEGATIF
Sudah vaksin booster dosis pertama Di aplikasi sertifikat vaksin sudah muncul tapi status warna vaksin masih kuning.. Kenapa tidak singkron ?,NEGATIF
Ok,POSITIF
"Udh vaksin kedua, 3 bulan lalu gk muncul2 sertifikatnya, giliran mau booster gk bisa katanya suruh menghubungi tempat vaksinnya, ya udh tutup lahhh, anehh nyusahin orang",NEGATIF
"Aplikasi meresahkan cara kerjanya ribet apalagi ganti tanggal lahirnya, loading proses",NEGATIF
Sangat membantu...terimakasih,POSITIF
Mudah digunaka,POSITIF
PL sangat membantu,POSITIF
Mantap,POSITIF
"Aplikasi ribet, sekarang apa2 harus scan peduli lindungi dll, giliran mau upload hasil vaksin ga ada step2ny",NEGATIF
"Ini kenapa ya akhir-akhir ini tiap kali check in selalu muncul check in gagal.. padahal sudah vaksin lengkap.. sebelum-sebelumnya gak pernah kayak gini.. udah hapus cache, login ulang,sampe install ulang juga tetep muncul check in gagal.. mohon solusinya yaa",NEGATIF
Knpa di perbarui terus2,NEGATIF
Mantab,POSITIF
Aman untuk perjalan jauh,POSITIF
Mantul,POSITIF
Bagus,POSITIF
"Menurut ku aplikasi paling aneh, bisa ya Tanggal vaksin berubah, padahal Saya sudah vaksin pertama Pada tanggal 13 Juli 2021 dan vaksin kedua pada tanggal 07 September 2021. Tetapi di peduli lindungi saya malah baru terdaftar baru vaksin pertama bulan April 2022. Bagaimana datanya bisa berubah ya, sedang sertifikat kedua saya sudah punya, Lapor ke Wa Kementerian RI jawaban ga jelas, klaim diaplikasi apalagi. Mumeet padahal mau booster 🥱",NEGATIF
Saya tidak bisa menemukan sertifikat vaksin saya Saya login pake nomor saya tetap tidak bisa login,NEGATIF
3.P 2.P.David n di @,POSITIF
Mantap,POSITIF
"aplikasi ga jelas, suruh apdet mulu tapi masih aja ga jelas",NEGATIF
Sangat terbantu,POSITIF
Baik,POSITIF
Sangat membantu masyarakat dalam lingkungan arti luas,POSITIF
"Makasih, selalu update",POSITIF
bermanfaat,POSITIF
Jhos,POSITIF
Aplikasi yang akurat dan terpercaya Serta banyak manfaatnya untuk masyarakat umum,POSITIF
Good,POSITIF
Tidak bisa buat scan QR beli minyak goreng,NEGATIF
Good,POSITIF
"Saya sudah di vaksin ke 2 di tanggal 5 Agustus 2021 , tapi ko di pedulilindingi nya tidak terdaftar,,, trus saya juga sudh vaksin buster jga tdak terdaftar di pedulilindungi,,, bikin saya kecewa, setiap saya mengadukan masalh ini pihak tertentu tdk bisa membantu ,",NEGATIF
Tolong dong aplikasi dibenerin. Saya udah vaksin ketiga tp ga muncul juga sertifikatnya. Malah jadi do! Dimohon kerjasamanya ya. Saya udah komplen ke 119 email bahkan sms tp tetap tidak ada jawaban!!!,NEGATIF
Mantap,POSITIF
APLIKASI SAMPAH DARI SI OPUNG!!,NEGATIF
Siip,POSITIF
"Sangat buruk dan melelahkan, pada pilihan tgl lahir sangat sulit mengisinya, krn tidak bisa digeser ke bawah mnj tahun. Baiknya langsung isi manual spy cepat 🥶🥶",NEGATIF
Pret lah,NEGATIF
Aplikasi gak penting,NEGATIF
Gk jelas data vaksin orang hilang bego...,NEGATIF
Bagus,POSITIF
Mudah digunakan,POSITIF
Bermanfaat,POSITIF
Dahlahmales,NEGATIF
Hadeh,NEGATIF
Jelek,NEGATIF
Knpah ya kok peduli lindungi saya di buat barcode tidak bisa padahal sudah vaksin.yg.ke 3,POSITIF
Bagus penggunaan,POSITIF
Tidak membantu. Sertifikat faksin saya gak bisa muncul dalam aplikasi ini,NEGATIF
"Booster dari tggl 28 july 2022 di puskesmas harapan baru bekasi utara, sampai detik ini sertifikat belum juga update masih stuck di vaksin ke 2 alhasil kemana2 jadi susah krn masih kuning di apps... Cakepppp itung aja ud brp hari? Jgn dijanjiin 1x24 jam klo penginputan data masih odong2",NEGATIF
"gabisa di klaim sertikfikat vaksinnya, lemot bangett padahal tanggal vaksinnya bner tapi katanya salahh gimana sihh",NEGATIF
Sangat membantu,POSITIF
Ok,POSITIF
Ok,POSITIF
Bagus aplikasinya,POSITIF
Tingkatkan terus,POSITIF
"Kominfo tolong blokir aplikasi ini karena gagal check-in terus, udah performanya lambat, kadang enggak sinkron sama GPS, sekali gagal check-in malah keterusan. Menghambat produktifitas buat ke kantor!",NEGATIF
Good,POSITIF
Maksih aplikasinya top,POSITIF
Ok bagus,POSITIF
Kurang puas.sertifikat vaksin membesar sendiri,NEGATIF
Siiip,POSITIF
"Sertifikat tidak keluar, sudah di klaim dll.",NEGATIF
Gak ada pintu,NEGATIF
Mantap,POSITIF
Buruk,NEGATIF
Buruk,NEGATIF
Buruk,NEGATIF
Buruk,NEGATIF
Sangat buruk,NEGATIF
Menyusahkan,NEGATIF
sangat buruk,NEGATIF
Ok,POSITIF
Lumayan membatu,POSITIF
"Sangat baik dan memuaskan, terima kasih",POSITIF
"PeduliLindungi .. semoga segera normal kembali .. aamiin .. Tanya Admin, untuk vaksinasi boster Apakah muncul secara otomatis??? (Vaksinasi sinovac sudah 2 kali)...",POSITIF
Selalu diopen Peduli Lindungi pd tempat2 bersifat publik 🙏🙄👍,POSITIF
"Sangat membantu,tapi kenapa punya saya udah vaksin bosster tiap chekin gagal terus setifikat ke 3 ga muncul aneh",POSITIF
"skrg app ini malah ngaco, mau liat sertifikat malah ga bs.. vac 1 & 2 ga bs diliat.. apa lg boster ga ada keliatan disitu..tau kemana pegi nya..lagi jln2 kl.. perbaiki dong.. nyuruh pake tp ga bs dipake...ampuun dah..",NEGATIF
Sangat membantu,POSITIF
Sangat bgus,POSITIF
"Permisi ini gimna ya masa nik saya dipakai orang lain,jdi sertifikat vaksin saya ga keluar",NEGATIF
kurang bagus kinerja loe pade,NEGATIF
Aplikasi yang wajib punya.,POSITIF
Bagus dan simple,POSITIF
Ganti nomor tlpke XL,POSITIF
Tolong dong saya sudah vaksin booster pada tanggal 20juli tapi belum muncul² sertifikat nyaa lebih di tingkatkan lagi,NEGATIF
"Vaksin menyehatkan indonesia,supaya terhindar dari virus corona",POSITIF
suka ada bug,POSITIF
"Setelah diupdate malah engga bisa liat riwayat check-in... Gimana si ni aplikasi, engga jelas",NEGATIF
Coba ini masukin tanggal lahirnya di bikin gampan gitu,NEGATIF
Setiap chek in masuk ke tempat publik selalu gagal chek in,NEGATIF
Harap di perbaiki untuk cekin aja skrng ggl trus knp ya kalo sdh bnr sya ksh bintang 5 lgi,NEGATIF
Mantap,POSITIF
kenapa setiap scan harus muncul perizinan ke kamera? dibuat selalu auto aja,NEGATIF
APLIKASI NYUSAHIN... JARI TENGAH BUAT YANG DEVLOP,NEGATIF
"Kenapa tidak ada pilihan unduh/download sertifikat, yang ada malah hapus",NEGATIF
good,POSITIF
Lebih cepat info yg didapat dan lebih simple,POSITIF
👍,POSITIF
Bagus,POSITIF
Knpa saya tidak bisa color ini lagi,POSITIF
Mau taya kalau cara ganti nomr yng terdaptar yng sudah hilang gimnh yh am nomr yng baru???,POSITIF
Good,POSITIF
"Mau Heran, Tapi Sudah Mendarah Daging. ASUdahlah Dari Pada Membuang"" Waktu & Tenaga. Ada rating minus Pengen Banget ngasih Bintang Sepuasnya, Gamenya Bagus 🤔 Namun Heronya Banyak Bug, seperti ketiduran, main ke mall & jln"" & Juga Setiap Menyerang Selalu Menyusahkan Banyak Orang mungkin nanti kedepannya bisa Dinerf, ouh Iyah buff juga mungkin bisa ditambahin otak biar Ngak gaptek, mungkin itu aja opsi kedua & review dari saya Terima Kasih",NEGATIF
Apk ini gimana sih susah amat harus pake tebak2an sgala untuk privikasi dan isi tanggal lahir nya juga susah jdi gagal trus mau claim sertipikat juga,NEGATIF
Bagus,POSITIF
Membantu aktifitas saya diruang publik dan perjalanan ke luar propinsi.,POSITIF
Zein. Tamam,POSITIF
"Bagus sekali,mantaapppp.aplikasi ini sangat membantu.",POSITIF
kenapa pas saya mau login ada tulisan access token expired,POSITIF
Pengalaman saya menjadi ibu rumah tangga..,POSITIF
Mantap,POSITIF
Tdk bisa scan qr,NEGATIF
Good job,POSITIF
"Banyak yang mendaftar vaksinasi menggunakan no telpon pribadi saya yang saya gunakan dan terdaftar di peduli lindungi, banyak notifikasi sms orang yang telah mendaftar dengan no yang saya gunakan, dan dipeduli lindungi jiga sudah banyak sertifikat vaksin orang lain. Miris",NEGATIF
"Knp aplikasi tidak bisa dibuka, diklik langsung keluar",NEGATIF
e 3,NEGATIF
bagus,POSITIF
Seharusnya kolom tanggal lahir itu di ketik saja jangan digeser2 kita yang kelahiran 90an harus berulang2 geser,NEGATIF
"Punya saya buat check in di gedung selalu gagal terus, kalo di chek out malah IN terus warnanya kuning, udah 2 Minggu ini gak bisa. Tolong di perbaiki, sama NIK dan TGL lahir berbeda.",NEGATIF
Madodet,POSITIF
Mantap,POSITIF
Di status vaksinasi udah vaksin dosis kedua.. Pas di cek setifikat dua duanya vaksin dosis pertama 🙈🙈.. Sebagai PPDN sangat terkendala karna regulasi sekarang mewajibkan untuk antigen dan PCR. karna belum bisa menerima vaksin dosis ke tiga,NEGATIF
"Sip,👍 tp knp sertifikat TDK muncul pdahal sdh diklaim ber ulang2",POSITIF
"Saya sudah vaksin 2, dalam hal urgen pekerjaan harus ada sertifikat pedulilindung, pas daftar/masuk itu kok tidak bisa. Ini gmn udh pusing saya otak atik, dan saya sudah mengirim email, tolong",NEGATIF
Baik,POSITIF
Bisa ya. Anak orang di tambah di akun saya. Itu anak siapa di tambah ke akun saya dan di tulis anak..,NEGATIF
Bagus,POSITIF
Gak jelas,NEGATIF
"Maaf saya kasih bintang 1... Mw daftar sertifikat vaksinasi susah (gampang erorr)... Tolong diperbaiki lagi menjadi lebih baik, jadi memudahkan pengguna..",NEGATIF
Good,POSITIF
Menyusahkan rakyat.,NEGATIF
Aplikasi yg menghambat aktivitas saya dan masyarakat.,NEGATIF
Lancar,POSITIF
Sulit didownload,NEGATIF
