content,score
"Nomer sudah terdaftar diaplikasi pedulilindungi, tapi giliran buka chatbot WA, kok balesanya nomer belum terdaftar, dicoba berulang kali tetap nomer belum terdaftar. Ini bagaimana solusinya?",1
Mantap 👍,5
Ok,5
"Gimana ini, setelah update, user not found. Siapa sih IT nya ini, buat aplikasi kacau bgni. Dah booster pun, gmna mau bepergian dgn pesawat kalau data aja ga ada. Dibuat daftar ulang juga katanya ga cocok. Mempersulit urusan org aja sih",1
👍👍👍👍👍👍,5
"Ah gk jelas. Apk Udah di update, Udah vaksin 3 kali saya. Tapi ko gk ada sertifikat nya muncul. Masa harus vaksin lagi? Maksud nya apa ini aplikasi.",1
Masih minim dah itu aja,1
Ok,5
Aplikasi yg sangat berguna,5
Bagus,5
Ok,5
"Aplikasi babi, mau clai sertifikat aja gak bisa monyet",1
"Akun saya gk bisa log,no udh gk aktif tolong bantuan nya",1
Bagus,5
Buruk,1
semoga bgs,5
Ok,5
MMM,5
baik,4
ok,5
Mantap,5
Simpel,5
Maaf sertifikat GA keluar,1
Mantap,5
gx,3
Excellent,1
Belum pernah semoga tidak pernah terkena covit 19 ..alhamdulillaah .,5
Keseringan update,1
Sangat membantu,5
Good job,5
Excellent,5
"Aplikasi Tolol, mau ngecek sertifikat vaksin sama hasil antigen malah gak bisa.",1
Rewel,1
Aplikasi sampah udh vaksin dosis ketiga pas mau cek sertifikatny zonk...unistal aja lah klo ga guna menuh2in memori aja,1
"Ada bugs saat input no hp, dimana pada saat memasukkan no hp tidak otomatis menghilangkan angka hp *0*",3
Top,5
Hh98,1
baik,5
Gak bisa di update. Tolong perbaiki lg,1
Bukti sudah di vaksin Agus priyanto,5
Sangat mantab,5
Bagus,5
Kkk,5
Bagus.dan sangat membantu,5
Mau cek sertifikat vaksin ga bisa layar putih semua tolong di betul kan,1
i by Ni kc CD n r bu o htj mm k eii CT mungk iinh bul over jhk u i jlabmlj s lkti kn ns be the b.,4
Ok,5
Ini aplikasi apa sih,1
Mantap,5
Bagus,5
Bagus,5
Ok,5
👍👍👍,5
Bagus,3
"Setelah update, ternyata sertifikat tidak tampil, layar putih, blank, agar aplikasi diperbaiki lagi. Uji dulu sebelum diluncurkan ke publik. Kalau belum siap, jangan diupdate dulu, malu ahh...",2
Good,5
"Maaf sebelumnya, saya sudah download apk ini, ketika saya buka apk ini belum bisa masuk ke beranda nya. Mohon maaf untuk dibantu🙏",2
N. No oo z A di.,4
Baik,5
Mantull,5
Gak bisa di buka baik lewat no hp atau email. Cepet di benerin donk,1
The best,5
Mau tanya min saya vaksin sdah lengkap kenapa muncul baru boster pertama? Baru d suruh vaksin boster ke 2?,2
"Sertifikat vaksin ndk bisa d buka, pdhl saya pergunakan untuk penerbangan ke luar daerah dan kota",2
Excellent,5
Jellek,1
tetap bintang 1,1
Oke,5
"Peduli lindungin keren, manfaat",5
Menyusahkan,1
berguna untuk kelancaran kerja,3
Saya masuk di kasih pilihan masuk pakai no telfon atau alamat email. Tapi semua tidak ada yg terdaftar ( gak bisa masuk ) lalu saya inisiatif buat daftar ulang tapi gak bisa juga karna nik sudah terdaftar !!! Capek !,1
Sangat membantu,5
Udah vaksin ke tiga awalnya ada sertivikat nya tpi di perbaharui aplikasinya terus kok enggak ada sertivikatnya,1
"SANGAT TIDAK MASUK DI AKAL. SAYA LAPORAN GANTI NOMOR HP KARENA HILANG. SUDAH MENGISI SYARAT ² YANG DIBERIKAN DARI MULAI NO NIK, TGL VAKSIN, JENIS VAKSIN DLL TAPI 1 MINGGU LEBIH TETAP TIDAK BISA MASUK APLIKASI.",1
"Aplikasi ini TDK disediakan cara masuk bagi yg kehilangan hp dan lupa no.hp yg sudah terdaftar di aplikasi ini ,sehingga sy TDK bisa lagi melihat sertifikat vaksin saya",2
"Mohon maaf saya kasih 2 bintang soal nya sertifikat vaksin ke dua saya ga ke daftar cuma sertifikat vaksin pertama doang, padahal saya sudah vaksin dua kali, pertama sma ke dua tapi yang ke dua ga ke daftar.......... Jadi kalo mau vaksin lagi harus 3 lagi males kan. Mohon maaf ya.",2
Coba buat aplikasi buat maling uang negara pak....,1
Akses sangat mudah untuk vajsin,5
"Udah vaksin smp booster tp nggak update ,,bikin susah aja buat urus2 tiket pesawat😡😡😡",1
Pas di apgred ko sertipikat vaksin saya GX muncul y,1
Ok,5
Sangat membantu,5
History chek in dmna ya ?,1
keren,5
"Ini aplikasi kok malah memberatkan masyarakat ya, aksesnya sulit",2
Daftar aja sulit gomballll,1
gak mutu bettt dah nih aplikasi,1
"Apa masih harus mengisi E -hac,, tp kok gak ada di peduli lindungi ,,",3
Nggak ad menu pencarian lokasi vaksin tersekat,1
"Login=User not found, kereen sekaliii. Masuk tab daftar=nama dan nik tidak cocok. Keren app ini cuma buat gelontorin anggaran negara hasilnya sampah",1
"Apk burik, pantes indo gak bisa maju,apk kayak gini aja di up ke publik, masak mau daftar susah kali, udah jelas jelas nama nik sudah jelas,no tlpon sudah jelas tapi tetep gk bisa daftar Kalau belum sempurna jangan di up blok,anjir lu.",1
Kenapa saya tidak dapat kode verifikasi ?,3
udh download udah vaksin sekrang gunanya buat ap ya bingung mlh,1
Top,5
"Aplikasi Hoax Udah ada Bukti Vaksin Kedua Kalinya,Tapi di Aplikasi baru sekali,ini adalah salah satu contoh kasus pengambilan Data seseorang yang sudah mengikuti prokes tapi data nya diambil oleh Aplikasi ini,Gimana Mau Bener Negeri ini.",1
Apk bodoh kalo nomornya hilang GK bisa di buka sisa sia aku vaksin paok,1
👍👍👍👍👍,5
Ok,5
Update Mulu udah brapa kali update trus kalau penyimpanan dikit gimana masa harus hapus aplikasi penting biar bisa buka peduli lindungi,2
Oke,5
Ganti no hp rumit untuk masuk kembali ke aplikasi..,1
Sertivikat vaksin tidak muncul,1
Sangat membantu,5
sangat membantu,5
"Aplikasi kagak jelas banyak bug, sekelas Kominfo yang milik pemerintahan ceroboh gak karuan?",1
Good,5
Pemantau penyebaran covid 19,4
Ketika ingin melakukan cek sertifikat vaksin layar blank putih,1
Sertifikat vaksin tidak bisa didownload. Sudah didownloadpun tidak ada di galeri maupun file,3
"Ko selalu di perbarui sih, Dan ko gak bisa nampung beberapa nama, Awalnya saya kasih bintang 4,tapi setelah sering perbarui versi.. Jadi bintangnya saya kurangin jadi 1,itu pun agar bisa coment aja... Payah.... Payah... Payah.... Sering perbarui versi",1
Aplikasinya lumayan meskipun lambat,5
"Minusnya gini pak bu, saya sudah vaksin dan saya kehilangan nomor telepon beserta lupa e-mail google, dan sayapun sudah tidak bisa akses masuk lagi, saya mencoba daftar ulang menggunakan nomor lain tetapi tertolak karena nomor NIK saya sudah terdaftar menggunakan nomor yang sudah hilang tersebut,saya minta kesimpulan gimana cara mengganti nomor dan login ulang.",2
Sangat membantu dalam perjalanan,5
Resmi,5
"Mau masukin sertifikat dari my sejahtera (malaysia) ke pedilu lindungi ,, susahnyaaaa ,,, di my sejahtera sangat simpel ,, ini rumit",2
Ok,5
Luar biasa,5
Baik,5
Amazing,5
Tolong dong diperbaiki lagi peduliLindungi nya pliss 🙏🙏,5
Ok,5
Tdk dpt diperbarui,4
"Aneh setelah diperbaruhi, masa sertifikat vaksinansi ke 3 hilang lgh",1
Good,5
"Tetàp jalankan prokes sayangi diri anda dan keluarga anda,salam sehat slalu.",5
Sangat baik,5
Mau registrasi aj ga bisa,4
Pengalaman,5
Ribet....,1
Mau daftar ulang lagi ngga bisa ..dan terus ngga bisa..ini aplikasi masih di butuhkan ngga sihh,1
Ok,5
Sehubungan dengan adanya berita kebocoran data pengguna pada aplikasi ini saya sarankan bagi yang belum download jangan di download. Terimakasih KOMINFO atas perlindungan cybernya sayang itu tidak berarti apa². Silahkan cek media massa sebelum pihak anda membalasnya. Banyak data penting yang bocor akibat buruknya perlindungan cyber pada database dan hal ini tidak menyangkut WHO atau organisasi kesehatan manapun di dunia. Poinnya : data seperti NIK DLL telah dicuri melalui database aplikasi ini.,1
udah cukup bagus,5
Ok,5
Bagus,5
aplikasi sampah,1
Lokasinya bikin lemot,5
Mantaapp,5
Efektif dan efisien,5
Mantap,5
Aplikasi bacot yang nyusahin Rakyat.,1
Kenapa pas login akun ga pakai NIK ajh kenapa harus pakai nomor hp,1
Ok,5
Aplikasi gx jelas. Sudah patuh vaksin tpi sertifikat tidak keluar.. Sudah menghubungi layanan peduli lindungi suruh nunggu sampe 2 bulan...,1
Masih dipakai? Yg masuk mall atau public area ga scanning pedulilindungi banyak pakai banget....,2
Gimana cara melihat berapa kali saya pcr,5
Bagus,5
Mantap,5
Sanggat membantu,5
"Vaksin boster kog gak muncul sertifikat bagaimana ni,,,sudah d suntik kog GK muncul sertifikatyaa,,,trus gimana solusinya bpakkkk",1
Ikutin aja,5
Terimakasih,5
WHYÝYYY,1
Sertifikat vaksin gk ada iki piyeeeeeee,1
Ok,5
"Kepada pedulilindungi, kode otp bagaimana tidak terkirim melalui sms saya mohon agar kode otp saya terkirim saya mau buat akun baru saja kode otp tidak terkirim terimakasih",3
Bagus,5
"Tolong dong hp saya ilang no nya dah ganti,mau masuk aplikasi harus pakai no yg ilang,ada ngak cara lain biar bisa masuk",3
Good,5
Semoga sehat selalu,5
pembaharuan mulu tolol nyusahin,1
Ok,5
Aman,5
Bagus,5
Muantafff,5
Ok,5
Bagus,3
Ok,5
Oke,5
"Blank,tdk bisa menampilkan sertifikat vaksin",2
Setiap mau check in malah masuk pengaturan lokasi terus. Padahal sudah aktif,2
okee,5
Sangat membantu,5
Good,5
"Tiga kali vaksin linu tapi beberapa bulan kemudian seger lagi. Tenang sudah punya surat vaksin ketiga. Aplikasinya kenapa harus di perbaharui terus ,donlowd lagi 2",2
Pedulilindungi ok,5
Sangat membatu.... Bagi pengguna nya....👍,5
Bagus untuk ketelitian,5
Rtt,2
bermanfaat,5
Bagus,5
Good aplikasi,5
Ok,5
Tolong ya .gw udh benerin akun google gw dengan teliti tetep gak bisa masuk,2
Pelayanan peduli lindungi seperti ini ketika di complaint tidak ada respon sama sekali apakah pelayanan CS cerminan dari pelayanan pemerintah indonesia,1
Tidak bisa cek kartu vaksin,5
PeduliĹindungi,5
terbaik,5
Luar biasa dan sangat membantu sekali 🙏,5
bagus,5
"Pakai versi terbaru 4.5.9.1 tapi kok gak ada eHAC, ya?",3
Udah vaksin ke 2 tpi ga ada sertifikat,1
"Sudah beberapa bulan permasalahan di aplikasi ini masih belum selesai apakah kurang anggaran atau kurang kecerdasan terhadap SDM-SDM yg mengembangkan app ini ?? Setiap buka sertifikat vaksin selalu blank putih tidak bisa lihat, Admin HANYA menyarankan untuk mengakses lewat web atau via WA dari dulu.. LALUUUUU UNTUK APA ADA APLIKASI INI??????? Solusi penyelesaiannya mohon lebih jelas dengan MEMPERBAIKI app ini secepatnya bukan hanya menyarankan untuk cek via wa / web. . Tolong dilakukan!!!",1
Sangat membantu,5
Sangat membantu,5
Good,5
Sangat membantu,5
Beraaatt…. Apa tidak punya IT yang canggih?,1
Good,5
Tk jelas...,1
Semoga lebih sempurna,4
Ok,5
Update terus sampe modar,1
Bruk sekli,1
Aplikasi ini bagus,5
Aplikasi bikin ribet,1
"Sertifikat vaksin saya tidak keluar di aplikasi, padahal saya sudah semua dan surat fisik nya masih ada",1
Aplikaainya bagus dan mudah,5
Mantap,5
Sangat membantu kami,2
🆗✅,5
Aplikasi yang mengedukasi dan sangat membantu,5
Mbuh,2
Berguna banget,5
👍,5
"Jangan mau download ini, datalu gampang bocor",1
Aplikasi idiot sejak di update jadi gak berguna....cara mudah memeras rakyat Ketika mau'digunakan Minta download pakai nomor otp Sekelas kementerian betul betul idiot,1
Membantu untuk ngecek di mana yang lagi ada pakdin,5
Ok,5
K Swj.xcereesa].ysns2 2jm,3
Min kenapa skil 2 fanny g di buff?,1
Ok,5
Mantap,5
ñññnm.ntar Nuy,4
Merepotkan,1
Ok,5
"Udh buka nya lama, eh pas kebuka minta update kalo menolak dia nutup aplikasi nya, kezel",1
Nggak bisa nge claim sertifikat vaksin padahal udh vaksin,1
Mudah,5
Sangngatmembantu,5
Posting,5
"aplikasi apaan ini , gak bisa buat lihat apapun , hasilnya blank warna putih , hadehh 😡😡",1
"Hp saya yang dulu hilang, lalu bagaimana cara supaya bisa mengembalikan data vaksin saya ke hp yang baru? Sayau sudah mencoba berbagai hal tetap tidak bisa, dan membuat saya tidak bisa akses ke tempat umum",1
Kapan jadwal vacsin boster ke 2 daya,5
"Proses ganti nomornya lama bgt, udh 2x24jam nelpon ke 119 ext 9 utk perubahan nomor telpon tapi masih blm bisa login pake nomor baru. Tolong donk dipercepat proses nya, krn sy mau bepergian ke luar negeri, pliss 🙏🙏 Thanks",4
Puas pake aplikasi ini karena kemana mana tinggal nunjuk kin aja ke petugas,5
Memudahkan perjalanan 👍🏻,5
Sangat mudah,5
Good,5
"Sangat penting utk data setelah vaksin covid,dipakai dlm keperluan umum,perjalanan luar kota,maupun dlm kota.",5
Update trus,1
Update terusssssssss,1
Tolong,5
Aplikasi terbaik,5
"minta update mulu, padahal yg di update juga gak diperluin selalu, karna kita hanya butuh tampilin sertifikasi dan scan barcode",1
Lumayan ...,4
"Rugi,hampir tiap bulan minta di perbaharui terus",1
Maaf ini sebetulnya yg bikin aplikasi gabut apa gimanh si. Kalo mau apa² suruh suruh login nunjukin sertifikat vaksin.tapi giliran suruh verifikasi masuk kaga.tolong aplikasi karya anak bangsa lebih baik lagi.tetap semangat.,5
Bagus,5
Bagus,5
*MEREPOTKAN*,1
Baik,5
Apa ini? Mentang2 covid dah landai. Aplikasi ga diurus. Dah hampir 2 tahun ga ada masalah tapi tiba2 ngebug ngeganggu hape gw. Coba uninstall trus install lagi tapi malah tambah parah ga bisa dibuka aplikasi nya.,1
"Sekarang mau liat sertivikat Blang cm layar putih saja Udh ikutin panduan baik wa,cs sama aja,,,tlg gmn ini aplikasi",3
"aplikasinya ngeribetin, minta update udah selesai update minta login ulang, pas login user not found... padahal itu nomor sama email yang biasanya login.. gak jelas",1
Aplikasi bagus,5
Aplikasi sangat lah buruk . Perlu pembaharuan terus menerus . Meski sudah di upgrade aplikasi masih eror dan lemot,1
"Gak bisa liat sertifikat, tolong perbaiki",1
Sangat Memuaskan,5
"Kok saya ingin mendaftar akun tidak bisa padahal saya sudah memasukkan NIK dengan benar loh kok malah ada tulisan ""sesuaikan NIK dengan KTP"" begituuu terus",1
Knpa tidak bisa di apgreap,1
Gak bisa download sertifikat booster👎,1
"Sangat nyaman dipakai, sangat penting,sangat membantu banget setiap hari",5
Update FC,1
"Upgrade lagi Upgrade lagi. Sampai memory full. Sampai aplikasi lain harus ada yg d hapus.. Dan yg sebalNya lg mau vaksin habis, Harus ngulang dari awal lg berulang² kali. Maaf ya ngga saya upgrade karna udh males.",1
Memperluas wawasan,3
Sengat membantu,5
Aplikasi gajelas susah di komplain,1
Ok lah,4
Bagus,5
Pengen ngeklaim sertifikat aja ribet banget lagian kalo gagal terus harus kembali lagi besok sedangkan butuhnya buat hari itu juga,1
bermanfaat,5
"Sertifikat vaksin saya tidak terbit di aplikasi peduli lindungi, padahal saya sudah vaksin",4
lbh baik,5
saya sudah vaksin ke 3 dan sudah hijau tapi tiba tiba jadi kuning pdhl saya perlu untuk penerbangan,1
Sangat bagus,5
Nice,5
the best,5
Anehhh...vaksin sampe 2x masih ga terdaftar...parahhh..ga jelas aplikasi nya...mohon maaf jangan sampai menggunakan aplikasi ini..dan di duga dapat keuntungan dari download dari sini..hadeuhhh,1
"Mau lengkapi profil tapi kok g bisa ya, padahal nik sama nama nya dah pas, tapi di klik daftar kok malah ada tulisan, ""pastikan nik dan nama sama dengan KTP"" Gini amat",1
"Sulit mendownload kartu vaksin, tanyakan ke seluruh masyarakat yang ingat tanggal vaksin pasti sebagian besar lupa",1
Oke,5
"Tolong apikasinya diperbaiki,sangat mengecewakan.tidak bisa cek sertifikat",1
Sangat membantu,5
Oke trims utk aplikasi ini,4
"Sudah daftar pedulindungi , pake email ,saat akan mengurus pasport di London , sudah ada verifikasi melalui email saya , tapi setelah mau masuk lagi untuk melihat hasil vaksin dan login pake email atau no tlp pasti ada tulisan *USER NOT FOUND*. maksudnya apa ya ? , Dan mau masuk dengan daftar baru , saya masukkan nama, no nik KTP , alamat email , no pasport jg gak bisa , terus siapa yg salah ? Dan satu lagi ,ingin log in melalui google juga ada tulisan *BROWSER TIDAK MENDUKUNG*Mohon bantuannya",1
Sangat menjaga,5
Mantul,5
Mantap,5
"lama lama makin Sangat buruk ,makin ribet sangat kecewa",1
sangat tidak membantu secara baik,1
"Payah lah pokonya ,daftar aja ribet",1
Lebih ditingkat kan lagi,5
"Sya sdh vaksin ke dua tgl.10 kmren .. tp smp sekarang sertifikatnya blm keluar, dan kl pengaduan kmn??? Knp d aplikasinya tdk ada untuk pengaduan ???",1
Bagus,5
Masa ga bisa untuk cek sertifikat vaksin di peduli lindungi aneh banget!!,1
Sangat luar biasa dan membantuku,5
Sudah top👍,5
Oc,4
"Tolong di kasih fitur buat ganti no di awal masuk bang, saya ganti no ga bisa masuk akun nya, pake email juga g bisa tolong bantuan nya",3
Saya mau daftar kok ga bisa bisa yah,3
Gangguan mulu,1
Ga guna,1
Top,5
Surat vaksin tidak kebaca sama sekali,1
Knapa harus di update,5
"Membantu saat digunakan untuk beraktivitas, tp setelah lama tidak digunakan, kadang untuk mengakses sertifikat vaksin tidak mudah",5
Gak jelas..!!,5
8.5/10 gak bisa login,4
Bagus banget sangat membantu,5
Tidak bisa diunduh,5
baik,5
Good,5
Okelah memudahkan untuk kluyuran kesana kesini sbg warganegara yg baik&patuh Vaksin komplit,4
Persyaratan umum,5
"Aplikasi yg sangat berguna banget,thanks",5
"Saya gabisa login di aplikasi karena kartunya hilang, ingin ganti no nya. Terus chat di Whatsapp sudah dibantu pergantian no, setelah beberapa minggu di cek lagi masih gabisa, di chat lagi di whatsapp malah disuruh kirim otp ke no yang kartunya hilang. Saya mau ganti no nya, kenapa malah disuruh kirim otp ke kartu yang hilang, SEHAT??!",1
Mempermudah pelayanan,5
Sering minta update. Dan sangat mengganggu efisien waktu. Kurang berguna,1
Ini kenapa ya gk bisa masukkan data anak atau saudara krn mau cek aja susah bnget,1
Keren,5
Eror terus saat scan barcode mlh gagal gk bisa kebuka dan terpaksa harus buka google buat cek vaksin,2
Ko sertifikat saya pas dibuka cuma setengah ga full gambarnya.knapa yaaa tolong,3
Bagus aplikasi nya gaesss ayooo segera download aplikasi ini,1
Ok,5
Always asking for update..so disturbing,2
Aku biasanya sering kerokan tp semenjak vaksin 1dan 2 skrg nggak pernag masuk angin lagi bersyukurlah trm kasih ada vaksin,3
Ok,5
aplikasi bobrok.,1
Maaf admin saya kan nomer hp yg lama ilang tapi saya udah vaksin ke 3 daftar pake nomer yg baru gak bisa login sedangkan nomer yg lama buat login harus ada vertifikasi gimana min caranya biar bisa login ke akun saya,5
Mantap,5
Aplikasinya elite Login sulit,1
Untuk masalah riwayat imunisasi anak ini...sudah saya masukkan data dg benar tapi kok katanya salah...lah ini gimana coba,1
Alhamdulillah,5
Ok banget,5
Saya rumit clim serifikat . Saya sudah vaksin 3 seminggu yg tetap aja kuning. Jadi sy gak bisa naik kereta ..mohon bantuannya,1
Good,5
Simple,5
Lebih baik mencegah dr pd tidak,5
Baik,5
sangat membantu,5
Lanjut,5
"Simple pengoprasian nya, Manfaat nya banyak",5
Mantap dan praktis,5
Dia tlh mlindungi q dr sgala virus yg jahat mka peduli lindungi layak q ksih 3 bntang wlpun jrag q buka tp dia akn mlindungiku dr virus yg sgt bahaya,3
Jlk,1
Bagus,5
Mantaff,5
Baguss,5
peduli lindungiku knp gak bisa d scand. padahal dah boster loh . mau masuk mall d scand gk bisa. minta tlng donk d perbaiki,2
"Saya kecewa dengan pelayanan peduli lindungi, saya sudah dari tanggal 13 ngelaporin untuk ubah nomor telepon saya dan sudah diverifikasi di 119 dan saya disuruh untuk ngelaporin ke admin WhatsApp katanya nunggu berkala tapi sudah ditanggal 23 saya coba lagi belum bisa, dan fasilitas untuk mengajukan masalah aplikasi peduli Lindungi di 119 malah hilang",1
Jelek sekali,1
blum di buka.jdi ksi bintang 4 dlu,4
"Nyaman,aplikasi ini sgt membantu",5
good,5
Good,3
Menyediakan berbagai macam fitur yang ada,4
Terlalu sering pembaruan,2
"Aplikasi maksa.Ga update, ga bisa dibuka.",1
Minta update muluuuuuu,1
"Saya sdh sampai booster ke 2 tp up date annya msh aja booster 1,pdhal ktnya otomatis",3
"Alangkah baiknya menu sertifikat vaksin di buatkan icon di halaman awal menu, tinggal klik, biar tdk agak ribet. Makasih",3
Buat cek sertivikat nya lama. Muter ulang terus,2
Baik,2
Ok,5
baik,5
Peduli untuk indonesia,5
Masuk login GK bisa,1
Mantap.,4
berguna saat mau pakai kereta ataupun pesawat,5
Pengen aja kasih bintang 1,1
mi 7h7 x n,2
Apk ga guna,1
Bagus,5
Kolk. Lp Ppplpl P L,3
Padahal sudah vaksin malah ga ada riwayat vaksin,1
Ok,5
Pembaruan terussss,3
Siiip ok 100%,5
Sangat mudah,4
Mantap,5
Sudah bisa menampilkan vaksin#4 booster,5
Tau sendiri kenapa kenapa kasih bintang 1..klo da bintang 0..dah tak kasih 0,1
Good,5
👍👍👍,5
Mau login aja susah banget!!!!,1
bagus,4
Bagus,5
"Kenapa updatenya ga bisa dilewati dulu, Ini harus update, kalo jaringannya jelek dan waktu mepet, bisa kelewat naik kereta",1
No comment,4
Akurasi,5
cara log in dengan nomor gimana ya? soalnya nomor saya sudah mati dan saya ganti hp jd di hp ini tidak bisa log in. tolong kasih solusinya dong ka,4
jos gandos,5
Tolong Di perbaiki lagi masak masarakat Di persulit mau buka tangal harus Di Geser2 seharusnya tinggal tulis manual aj,1
Oke,5
"Niatnya di perbaharui byr bisa down sertifikat vaksin, ngga taunya sama ajj. Buat buka sertifikatnya aja ngga bisa. Tolong ya di perbaiki lagi.",3
Ganti no telfon,5
Useless,1
Good,5
Kurang bermanfaat,1
Udah vaksin 1 sampai boxter tdk bisa mendapatkan sertifikat,1
Baik,5
Keterpaksaan,1
Memuaskan Memuaskan,5
Bagus,5
"Malak ribet buka aplikasi peduli lindungi sekarang ,gak kayak yang aplikasi peduli yang lama tambah membingungkan masyarakat kecil",5
"Saya tidak bisa ngapa""in di apk ini.bahkan saya daftar karna mau chek sertifikat vaksin tidak keluar pun ga bisa.",3
"aplikasi gajelass, pas dibutuhin malah ga keluar sertif nya, hdh ngeribetin aja, sampe dimarahin atasan gua karena dimintai bukti vaksin dan aplikasi ngebug",1
