score,content
5,Kenapa ini error' and loading teruss kalo login🥲🥲 mau di update juga susah.. padahal kuota sama sinyal lagi keadaan bagusss🥲
1,Gak bonafit. Sudah vaksin kedua malah gak ada data. Disuruh ke rumah sakit malah gak ada data. Banyak alasan pihak rumah sakit
5,Bagus bangettt
5,Mantap
5,insyalloh bermafaat
3,"Minta diperbarui, setelah diupdate malah gagal terus, ini kenapa ya?"
1,Nyusahin
4,Oke
5,Bagus
2,Tuti firman wati tel
3,"saran saja, jika bisa tolong ubah fitur pemilihan tahun kelahiran ke fitur yang lebih baik. lama juga semisal buat bantuin orang tua yang minim pengetahuan soal beginian 🤗"
1,Ga berfungsi ga bisa dibuka
5,Ok
2,Xx
4,Lumayanlah
1,Minta update teruuusssss
1,"Saya sudah vaksin booster di Gor bekasi tp ,sudah 1 minggu lebih belum keluar sertifikatnya,tolong yang tugas hari minggu di gor bekasi segera bertanggung jawab input data yg benar,terima kasih"
5,Ok
1,"Aplikasi asu ga kode qr ga bisa, liat hasil vaksin ga bisa"
4,Mom I Ijolo Idols y.poo poppoo Milk. OOOIKM olo l yn. Ok Oo Kdx waffles O mood O k.! y. Morning Ppo I. hy m k O thunder⚡hmmm pop ok Ppo loopO
5,Baik sekali
1,Aplikasi nyusahin bangsad
5,Terbaik
3,"Nice. Tapi saya masukin tautan utk 2 anggota keluarga di app ini, setelah disimpan, kok hilang lg datanya??? Udh berulang2 begitu trs sampe capek deeeeeh."
1,Membingungkan dan muter2
5,Okeeee
1,"Aplikasinya kalau buat download sertifikat vaksin terlalu rumit. Harus ngisi banyak biodata, apalagii pas ngisi menu tanggal lahir ituu tidak bisa diketik manual, haruss nyari satu satu, kalau tahun lahirnya tahun 80 an yang nyari kelamaan, ujung ujungnya pas nyampek tahun 2000 an aplikasinya not responding, ujung ujungnya nge close sendiri, dan harus mulai dari awal lagi. Perlu diperbaiki lagi sih buat menu2 nya. Sekiranya yg sedikit simple, biar orang yang udah tua2 juga gak kesusahan ngakses."
5,Tolong tanda hapus di sertifikat faksin dihilangin bahya bila kepencet
2,"Knpa ya stiap scan di mall atau manapun yg mengharuskan scan dg Pedulilindungi selalu merah lalu tertulis ""belum melakukan vaksinasi"", pdhal sudah vaksin 3x dan sertifikat sudah tertera di aplikasi Pedulilindungi.. Apa yg salah? 😕"
1,"Kenapa setelah d perbaharui jadi susah buka aplikasinya dan gak bisa lihat sertipikat vaksin ke 3,tolonggg ini aplikasinya gimana?🤦"
5,Ok
5,Baik
1,Di update malah belum memiliki sertifikat vaksin padahal sudah vaksin 3x
5,baik
5,ok
5,ok
1,Sekarang makin kesni makin ribet masa iya kita uda masukin data data malah suru masukin data vaksin nya apa tgl brp Kan makin ribet lebih bagusan yg dulu lansung muncul sertifikat vaksin sekarang ma kudu cari lagi makin ribet
5,Sangat baik
5,"Tksi bpk deni (admin) , akhir nya atas bantuan bapak deni sertifikat saya sudah sesuai dengan Nik E-ktp saya.. Tksi"
5,Lebih muda dan simpel untuk mengetaui hasil vaksin di manapun kita berada
1,"gak suka aku sama pejabat yang ada di kominfo, bakar aja, kurang guna tapi nyusahin masyatakat"
1,Gak bisa diinstal
5,Bagus
5,Sangat membantu
5,Terbaik
4,"Proses lama dan tidak praktis modulnya, beri gambar dan sekali pencet keluar hasilnya"
5,Baik
5,Top banget
5,Bagus sangat membantu
5,TOP BGT
3,"Aplikasi tiba2 gk bisa dibuka.. Saya coba masuk tetapi keluar sendiri aplikasi nya, mohon segera diperbaiki untuk kemudahan saya masuk kantor"
5,Baik
4,Nyaman sekali
5,Ok
1,"Susah dan ribet mau cetak sertifikat vaksin 1,2 dan3"
1,"Kecewa aja, pas mau isi data profil dan udh sesuai nik di ktp tpi ttp aja gabisa"
1,"Sudah vaksin tiga kali,tp sertifikat tidak ada..padahal sebelum di update saat cek sertifikat langsung muncul..,sudah klaim sertifikat dan isi data tp tanggal vaksin dibilang salah padahal tanggal sudah sesuai"
5,Membantu kepergian kemana kemana dan kerja samanya cpt proses nya
5,Good
2,tidak di operasional kan dg baik di semua titik
5,Bagus
1,Hih
3,Terbaik
1,Setiap chek in gagal terus padahal signal bagus tolong diperbaiki
3,"ghhhj🎊 🎊. 🤩😝ಠಿヮಠ🤩v ,bv👋(⌐■-■)ಠಿ_ಠ¯\_ಠ_ಠ_/¯¯\_ಠ_ಠ_/¯🎊😝😈🤑ℹ️😈😈😈🎊😈🦶😈 😁😝💚🦶"
5,Bagus
5,Bagus saya suka dengan aplikasi
5,Oke
5,Bgs
1,lemot
5,Amazing....guys
5,Sangat membantu sekali untuk melihat hasil vaksidasi
5,Keren makin terdepan peduli lindungi
4,Ok
3,"Bentar2 pembaruan, tp ga da perubahan. Sertifikat vaksin tidak tampil, padahal sudah Hijau, sudah 2x vaksin."
5,"Keep up the good work, teruslah berinovasi aplikasi Peduli Lindungi 😄👍🏻"
1,Makin update makin update aplikasi nya makin lemot and banyak bug. Ga bisa save sertifikat. And sertifikat ke zoom sendiri waktu d klik. Tolo perbaiki scepat nya
5,Good
5,Good apl
4,Kdg susah digunakan
5,Mantab
1,Gw udah vaksin 3x tp d akui vaksin 2.gmn tuh tele dokternya. Alasan 1 kena DI trus apa bedanya dgn ibu hamil yg d pending knp gk d DO
2,Kok tidak bisa di instal? Kenapw?
5,Top
1,"Sudah vaksin dosis ke 3 tanggal 3 agustus 2022 di puskesmas pabuaran indah cilangkap cibinong(polres bogor)tapi sertifikatnya blum muncul"",sedangkan temen saya vaksin tanggal 4 agustus 2022 besok sorenya langsung turun sertifikatnya,ga adil bgt buat saya padahal saya butuh bgt buat kerjaan saya yg sebagai ojol ya notabane nya kadang keluar masuk mall atau perusahaan"" yg mengharuskan scan pedulilindungi"
5,"Bagus, kembangkan terus fungsi aplikasinya."
1,Setelah up date . Gagal paham. Sertifikat jadi dosis 1 semua
2,Jauhkan diri kita dari virus
5,Ok
1,"Aplikasi ngak jelas, mau klaim sertifikat vaksin buat perjalanan Internasional susah nya minta ampun. Pantes ngak maju-maju,, hal-hal mudah di buat sulit."
4,Mantap
5,Mantap IT nya
1,Kecewa ternyata ga dienkripsi datanya😅 padahal udah mayan bagus.
3,biasa saja
5,Peduli lindungi sangat membantu data personal
5,Bagus sangat membantu
1,Gak bantu juga kemeskes ri
5,bagus
5,Bagus
5,Bagus
5,Ok
5,Bgus
1,Ń. Nñnñ n.
2,Saya mau tanya kalau sudah daftar terus saya mau login lg dengan nomer yg berbeda gak bisa ya?saya ganti nomer dan prtama saya daftar saya sudah vaksin 1 tp ko di apl ini gak ada ya status sudah di vaksin.
5,Bagus
3,Sangat bermanfaat
5,Ok
5,lbh mudah
5,Baik
5,"Saya mau beri masukkan, tolong dibuat fitur ""keluarkan akun di semua device"""
5,Bagussss
1,Kode Verifikasi tidak bisa terkirim ke nomer yg saya masukan
5,Ok
1,punya saya gagal check in terus
5,Keren
5,Ok
1,Saya sampai hari ini belum dapat vaksin blooster ( vaksin ke-3) mohon informasi jika ada ditempat tinggwl saya Jl Banyu Urip no. 10
5,Mantap
3,B aj
5,Bagus
1,Mohon di perbaiki saya sdah vaksin tetapi tiket pesawat saya tidak bisa di cekin Karena di peduli lindungi tidak ada bukti untuk bisa terbang mohon secepatnya jangan di jawab lalu dibiarkan begitu saja saya jadi sulit untuk berpergian !!!!!! Apaguna kalo aplikasi ada tapi sistem nya penuh bug
1,Untuk penulisan tanggal sbaiknya manual saja . Ngga perlu pake bentuk kalender . Ribet yo ngoh cengoh ... perbaiki
5,Gg
1,sudah vaksin 1.2.3 tapi tercatat hanya 1.2 ..bertanya via email ke pedulilindungi disuruh tanya dan input di faskes tempat vaksin..setelah di faskes tempat vaksin malah disuruh email dan bertanya lagi ke pedulilindungi.. telpon ke CS susah . Whatsaap jawabannya dr system dan tidak memberi solusi apa ini? lempar sana lempar sini. apa yang PEDULI apa yang di LINDUNGI? Program konyol sekali.
2,Kemarin masih bisa log in disalah satu mall di Jakarta barat hari ini tidak bisa log in keterangannya belum melakukan vaksin padahal di peduli lindung sudah ada sertifikat vaksin ke 3 nya.tolong jangan di persulit.
4,Bagus
4,Bagus
4,Ok
5,Aku sudah pakzin boster kemarin hari rabu tapi belum ada kartux kapan ya?
5,Aplikasi sangat membantu
5,Ok 👍
1,Ok
3,Bermanfaat
4,Sangat puas dengan amplikasi peduli lindungi sangat mudah untuk perjalanan
5,Ok
5,Ok
5,Ok
5,Ok
5,Sangat membantu
1,Hilang terus sertifikatnya
5,Top markotop
5,Semoga sehat selalu dan di mudahkan segala urusannya oleh allah swt
3,"Setelah di perbaharui mau buka sertifikat vaksin gak bisa, error terus, mana gak bawa kartu yang awal, ku kira bisa buka lewat aplikasi ini, sudah jauh dari rumah ketempat vaksin boster malah zonk, 😭 auto pulang lagi , balik lagi ke tempat vaksin jika di adakan lagi, insyaallah. 😭😭😭"
4,ya baguslah
5,Good
3,Sangat luar biasa manfaatnya
5,Benar benar aplikasi super!
5,Mantap
4,Byk yg GK kluar
2,sangat sulit di konfir sudah madukan 6 dijit tapi ga masuk masuk
5,👍
5,Good
1,"Minta di update terus padahal jarang di pake, kalo mau bantu masyarakat , jangan nyusahin,,,, tolong perbaiki sistemnya biar ga minta terus terusan di update , aplikasi pemerintah ko kaya aplikasi konvensional😂😂"
5,Sangat memuaskan
5,Sertifikat vaksin saya 1 & 2 belum muncul juga
5,Mataaaappppp
5,Bermanfaat
5,Sangat bayik
4,Mantap
5,Aplikasi yang sangat membantu
5,Sangat bagus
1,Eror mulu
1,"Indonesia ruwet, pikirannya uang dan uang"
2,Gak boleh eror
5,Ok
5,"Bagus sangat membantu pengecekan vaksin dan sertifikat, smoga aplikasi lancar sehingga mempermudah yang membutuhkanya.👍🙏"
1,"setelah diupdate kok mala jadi lambat,gabisa download sertifikat vaksin nya."
1,Sudah vaksin booster sudah ada sertifikat tapi tiap check in tempat umum gagal
3,"Saya setiap kali mau melakukan pengecekan sertifikat vaksinasi saya selalu gagal (padahal nama, NIK, jenis vaksin nya, dan tanggal vaksin nya pas semua tapi kenapa pas dilanjutkan malah gagal terus). Malah disuruh buat melanjutkan besok saja masuk kembali untuk melihat sertifikat vaksin."
4,Sangat mendukung
1,"Aplikasinya seperti belum siap, sering eror / gak bisa dibuka aplikasinya"
1,"ini kan aplilasi bs d bilang setiap org harus punya knp update bruny bs instal di os hp 6, iy klu hp ny bs ikut update klu endk repot gini"
1,Wdyu
5,Ok
3,Ok
5,Ok
5,Mantap
5,Sangat bermanfaat
5,Mempermudah
5,Sangat membantu banget
5,Tidak Bisa Scan Check In Gagal Mulu Tolong Update Versi Barunya Min
5,Ok
1,intinya kecewa..
5,Mantapppp
5,Sangat membantu sekali🙏
1,Gagal login terus
5,Sangat membantu
5,aplikasi gak bisa di buka
1,"mau login dan sudah dikirim verifikasi kode 6 digit via email, ketika masuk aplikasi peduli lindungi dan dimasukkan kode nya malah muncul pesan di layar "" username is not allowed to be empty "" tolong di respon admin kenapa bisa terjadi kayak gini !!!!!"
1,Aplikasi tak bermutu
5,Bagus
1,"Kenapa ya setiap check in selalu gagal. Pembaharuan sudah, dicoba hp yg lain juga gagal."
5,Bagus buat di bawa bawa tinggal bawa Hp
3,"Peduli lindungi bagus tapi masi ada kekurangannnya,ya walaupun apk ini penting buat cek info vaksin,tp ya menurut saya kurang memuaskan aja"
1,"Apakah memang selama ini input data untuk sertifikat booster, selalu lelet update data"
5,Bagus
5,Terimaksih telah mmbantu
1,Setelah d vaksin booster malah gak update appsnya. Gak bs scan. Tp sertifiktnya ud update. Aneh. Trs komplain cs nya mlh d sarnin scan pake apps lain kayak traveloka dll. Gak solutif. Sampe skrg gak bs
1,"Hp saya tidak mendukung untuk aplikasi peduli lindungi, padahal aplikasi2 lain terinstal dengan lancar"
1,Aplikasi gak jelas.... Ruwet kayak Birokrasi +62
2,Aplikasinya tidak bisa dibuka.. kenapa?
3,Fucek
5,Bagus dan membantu
4,Sangat membantu dalam melakukan perjalanan jauh 👍
5,Mantap
1,FULL NAME NOT MATCH TERUS SAAT CLAIM SERTIF. MAUNYA APA SI. KALO BELOM BENER JANGAN DIBIKIN SYARAT YA.
1,maksa in
3,Tidak bisa melihat status warna setelah vaksin
5,Kok data saya tidak nampak ya.
5,Ok bgt
3,1q2.c
5,Membantu sekali
1,"Parah, udah vaksin booster tapi sertifikat belum muncul, hubungi sana sini dilempar sana sini? Solusi datang ke tempat pihak penyelenggara vaksin booster? Kalo tutup cari kemana lagi?"
5,Sangat membantu
1,Error mulu g bisa check in
5,Bagus
3,apalikasi ini pencurian data yang sebenarnya
5,Very Goods
1,Nge lag terus
1,"VAKSIN KE 3 GA DI KASIH SURAT KETERANGAN, DI APLIKASI GA KE DATA. GA JELAS.. BAKAL AKU BINTANG 5 KALO UDAH BENER"
4,Aplikasi berfungsi dengan baik dan sangat membantu
5,sangat bagus
1,"layanan buruk, saya sudah vaksin dosis kedua. tetapi di sertifikat malah tertulis dosis pertama"
1,Tidak bisa buka kamera
5,Sangat membantu.terima kasih.
5,Sangat bermanfaat
4,Cuh..unit..i l 9. Ib hepatitis bu cun H om
2,Tidak bisa download kenapa ya
3,"Hello Peduli Lindungi, saya telah melakukan vaksin booster di luar negeri, saya ingin menambahkan supaya data terupdate pd apk peduli lindungi, tetapi kenapa selalu ad kendala sampai2 verivikasi kena reject, ini bagaimana ya, mohon tanggapannya?"
5,mantap
1,Apk gaguna
1,"Aplikasi buruk sekali, pelayanan pengaduan sama sekali susah untuk di adukan, nomor selalu tidak bisa menjawab keluhan warga masyarakat, wa dijawab oleh sistem bot, sangat² buruk sekali"
5,Good
4,Apilkasi ini bagus menbantu di perjalanan saya walaupun kadan error close.
3,"Membatu terbaik..,"
1,Aplikasi ngeribetin sering ngelag jadi gak bisa masuk mol sueee2
5,is the best
1,Kenapa tidak bisa di instal di smartphone saya
1,Sudah vaksin booster dosis pertama Di aplikasi sertifikat vaksin sudah muncul tapi status warna vaksin masih kuning.. Kenapa tidak singkron ?
5,Ok
1,"Udh vaksin kedua, 3 bulan lalu gk muncul2 sertifikatnya, giliran mau booster gk bisa katanya suruh menghubungi tempat vaksinnya, ya udh tutup lahhh, anehh nyusahin orang"
1,"Aplikasi meresahkan cara kerjanya ribet apalagi ganti tanggal lahirnya, loading proses"
4,Sangat membantu...terimakasih
5,Mudah digunaka
4,PL sangat membantu
5,Mantap
3,"Berdasar dari balasan admin, saya sudah melengkapi data diri di profil akun sampai vaksinisasi ke 2 dan hasil terakhir tes covid adalah negatif lalu untuk titik lokasi juga sudah sesuai dengan perangkat maupun kecepatan internet yang sangat mendukung, mohon perbaikan nya"
1,"Aplikasi ribet, sekarang apa2 harus scan peduli lindungi dll, giliran mau upload hasil vaksin ga ada step2ny"
3,0i
1,"Ini kenapa ya akhir-akhir ini tiap kali check in selalu muncul check in gagal.. padahal sudah vaksin lengkap.. sebelum-sebelumnya gak pernah kayak gini.. udah hapus cache, login ulang,sampe install ulang juga tetep muncul check in gagal.. mohon solusinya yaa"
3,"Sudah lebih baik,, terimakasih admin fast respon nya Edit, setelah update (4-8-22) sertifikat vaksin di download tapi tidak ketemu di semua file hp. Masa iya di screenshoot doank."
1,Knpa di perbarui terus2
5,Mantab
5,Aman untuk perjalan jauh
5,Mantul
5,Bagus
3,Mohon bantuan an nya...knp data saya yang sudah d vaksin malah tertera belom pernah di vaksin...klow memang ada jalur pengaduan harus lewat mn...
1,"Menurut ku aplikasi paling aneh, bisa ya Tanggal vaksin berubah, padahal Saya sudah vaksin pertama Pada tanggal 13 Juli 2021 dan vaksin kedua pada tanggal 07 September 2021. Tetapi di peduli lindungi saya malah baru terdaftar baru vaksin pertama bulan April 2022. Bagaimana datanya bisa berubah ya, sedang sertifikat kedua saya sudah punya, Lapor ke Wa Kementerian RI jawaban ga jelas, klaim diaplikasi apalagi. Mumeet padahal mau booster 🥱"
1,Saya tidak bisa menemukan sertifikat vaksin saya Saya login pake nomor saya tetap tidak bisa login
5,3.P 2.P.David n di @
5,Mantap
2,"aplikasi ga jelas, suruh apdet mulu tapi masih aja ga jelas"
5,Sangat terbantu
5,Baik
5,Sangat membantu masyarakat dalam lingkungan arti luas
5,"Makasih, selalu update"
5,bermanfaat
5,Jhos
5,Aplikasi yang akurat dan terpercaya Serta banyak manfaatnya untuk masyarakat umum
5,Good
1,Tidak bisa buat scan QR beli minyak goreng
5,Good
1,"Saya sudah di vaksin ke 2 di tanggal 5 Agustus 2021 , tapi ko di pedulilindingi nya tidak terdaftar,,, trus saya juga sudh vaksin buster jga tdak terdaftar di pedulilindungi,,, bikin saya kecewa, setiap saya mengadukan masalh ini pihak tertentu tdk bisa membantu ,"
1,Tolong dong aplikasi dibenerin. Saya udah vaksin ketiga tp ga muncul juga sertifikatnya. Malah jadi do! Dimohon kerjasamanya ya. Saya udah komplen ke 119 email bahkan sms tp tetap tidak ada jawaban!!!
5,Mantap
1,APLIKASI SAMPAH DARI SI OPUNG!!
5,Siip
1,"Sangat buruk dan melelahkan, pada pilihan tgl lahir sangat sulit mengisinya, krn tidak bisa digeser ke bawah mnj tahun. Baiknya langsung isi manual spy cepat 🥶🥶"
1,Pret lah
1,Aplikasi gak penting
1,Gk jelas data vaksin orang hilang bego...
5,Bagus
5,Mudah digunakan
5,Bermanfaat
2,Dahlahmales
1,Hadeh
1,Jelek
4,Knpah ya kok peduli lindungi saya di buat barcode tidak bisa padahal sudah vaksin.yg.ke 3
5,Bagus penggunaan
1,Tidak membantu. Sertifikat faksin saya gak bisa muncul dalam aplikasi ini
1,"Booster dari tggl 28 july 2022 di puskesmas harapan baru bekasi utara, sampai detik ini sertifikat belum juga update masih stuck di vaksin ke 2 alhasil kemana2 jadi susah krn masih kuning di apps... Cakepppp itung aja ud brp hari? Jgn dijanjiin 1x24 jam klo penginputan data masih odong2"
1,"gabisa di klaim sertikfikat vaksinnya, lemot bangett padahal tanggal vaksinnya bner tapi katanya salahh gimana sihh"
5,Sangat membantu
5,Ok
5,Ok
5,Bagus aplikasinya
5,Tingkatkan terus
1,"Kominfo tolong blokir aplikasi ini karena gagal check-in terus, udah performanya lambat, kadang enggak sinkron sama GPS, sekali gagal check-in malah keterusan. Menghambat produktifitas buat ke kantor!"
5,Good
5,Maksih aplikasinya top
5,Ok bagus
1,Kurang puas.sertifikat vaksin membesar sendiri
5,Siiip
1,"Sertifikat tidak keluar, sudah di klaim dll."
1,Gak ada pintu
4,Mantap
1,Buruk
1,Buruk
1,Buruk
1,Buruk
1,Sangat buruk
1,Menyusahkan
1,sangat buruk
5,Ok
4,Lumayan membatu
5,"Sangat baik dan memuaskan, terima kasih"
5,"PeduliLindungi .. semoga segera normal kembali .. aamiin .. Tanya Admin, untuk vaksinasi boster Apakah muncul secara otomatis??? (Vaksinasi sinovac sudah 2 kali)..."
5,Selalu diopen Peduli Lindungi pd tempat2 bersifat publik 🙏🙄👍
4,"Sangat membantu,tapi kenapa punya saya udah vaksin bosster tiap chekin gagal terus setifikat ke 3 ga muncul aneh"
1,"skrg app ini malah ngaco, mau liat sertifikat malah ga bs.. vac 1 & 2 ga bs diliat.. apa lg boster ga ada keliatan disitu..tau kemana pegi nya..lagi jln2 kl.. perbaiki dong.. nyuruh pake tp ga bs dipake...ampuun dah.."
5,Sangat membantu
5,Sangat bgus
1,"Permisi ini gimna ya masa nik saya dipakai orang lain,jdi sertifikat vaksin saya ga keluar"
1,kurang bagus kinerja loe pade
5,Aplikasi yang wajib punya.
5,Bagus dan simple
4,Ganti nomor tlpke XL
2,Tolong dong saya sudah vaksin booster pada tanggal 20juli tapi belum muncul² sertifikat nyaa lebih di tingkatkan lagi
5,"Vaksin menyehatkan indonesia,supaya terhindar dari virus corona"
4,suka ada bug
1,"Setelah diupdate malah engga bisa liat riwayat check-in... Gimana si ni aplikasi, engga jelas"
1,Coba ini masukin tanggal lahirnya di bikin gampan gitu
2,Setiap chek in masuk ke tempat publik selalu gagal chek in
1,Harap di perbaiki untuk cekin aja skrng ggl trus knp ya kalo sdh bnr sya ksh bintang 5 lgi
5,Mantap
1,kenapa setiap scan harus muncul perizinan ke kamera? dibuat selalu auto aja
1,APLIKASI NYUSAHIN... JARI TENGAH BUAT YANG DEVLOP
2,"Kenapa tidak ada pilihan unduh/download sertifikat, yang ada malah hapus"
5,good
5,Lebih cepat info yg didapat dan lebih simple
5,👍
5,Bagus
5,Knpa saya tidak bisa color ini lagi
4,Mau taya kalau cara ganti nomr yng terdaptar yng sudah hilang gimnh yh am nomr yng baru???
5,Good
1,"Mau Heran, Tapi Sudah Mendarah Daging. ASUdahlah Dari Pada Membuang"" Waktu & Tenaga. Ada rating minus Pengen Banget ngasih Bintang Sepuasnya, Gamenya Bagus 🤔 Namun Heronya Banyak Bug, seperti ketiduran, main ke mall & jln"" & Juga Setiap Menyerang Selalu Menyusahkan Banyak Orang mungkin nanti kedepannya bisa Dinerf, ouh Iyah buff juga mungkin bisa ditambahin otak biar Ngak gaptek, mungkin itu aja opsi kedua & review dari saya Terima Kasih"
1,Apk ini gimana sih susah amat harus pake tebak2an sgala untuk privikasi dan isi tanggal lahir nya juga susah jdi gagal trus mau claim sertipikat juga
5,Bagus
5,Membantu aktifitas saya diruang publik dan perjalanan ke luar propinsi.
5,Zein. Tamam
3,Tidak Bisa Scan Brancode
5,"Bagus sekali,mantaapppp.aplikasi ini sangat membantu."
3,Setiap kali saya mencoba membuka aplikasi peduli lindungi kenapa sinyal internet saya berubah menjadi edge ya?
4,kenapa pas saya mau login ada tulisan access token expired
5,Pengalaman saya menjadi ibu rumah tangga..
5,Mantap
1,Tdk bisa scan qr
5,Good job
1,"Banyak yang mendaftar vaksinasi menggunakan no telpon pribadi saya yang saya gunakan dan terdaftar di peduli lindungi, banyak notifikasi sms orang yang telah mendaftar dengan no yang saya gunakan, dan dipeduli lindungi jiga sudah banyak sertifikat vaksin orang lain. Miris"
2,"Knp aplikasi tidak bisa dibuka, diklik langsung keluar"
1,e 3
5,bagus
1,Seharusnya kolom tanggal lahir itu di ketik saja jangan digeser2 kita yang kelahiran 90an harus berulang2 geser
1,"Punya saya buat check in di gedung selalu gagal terus, kalo di chek out malah IN terus warnanya kuning, udah 2 Minggu ini gak bisa. Tolong di perbaiki, sama NIK dan TGL lahir berbeda."
5,Madodet
5,Mantap
3,R DI tewlpon Gue
2,Di status vaksinasi udah vaksin dosis kedua.. Pas di cek setifikat dua duanya vaksin dosis pertama 🙈🙈.. Sebagai PPDN sangat terkendala karna regulasi sekarang mewajibkan untuk antigen dan PCR. karna belum bisa menerima vaksin dosis ke tiga
3,Jelek
5,"Sip,👍 tp knp sertifikat TDK muncul pdahal sdh diklaim ber ulang2"
2,"Saya sudah vaksin 2, dalam hal urgen pekerjaan harus ada sertifikat pedulilindung, pas daftar/masuk itu kok tidak bisa. Ini gmn udh pusing saya otak atik, dan saya sudah mengirim email, tolong"
5,Baik
1,Bisa ya. Anak orang di tambah di akun saya. Itu anak siapa di tambah ke akun saya dan di tulis anak..
4,Bagus
1,Gak jelas
1,"Maaf saya kasih bintang 1... Mw daftar sertifikat vaksinasi susah (gampang erorr)... Tolong diperbaiki lagi menjadi lebih baik, jadi memudahkan pengguna.."
5,Good
2,Menyusahkan rakyat.
1,Aplikasi yg menghambat aktivitas saya dan masyarakat.
4,Lancar
1,Sulit didownload
1,"Mohon maaf gw kasih bintang 1 soalnya gw udh vaksin booster tapi di sertifikat gaada sama sekali, sedangkan banyak temen gw yang ga vaksin tapi dapet sertifikatnya tolong kalo mau bantu rakyat yang bener, dengan adanya app ini dari awal juga udah nyusahin tau ga ? Plis sadar"
1,"Daftarnya susah banget, pdhl kode otp nya udah benar, tapi ga valid terus... Bikin greget aja nih aplikasi... Klo bkn krn hrs dpt sertifikat vaksin ga bakal download ni aplikasi... :("
3,Sudah booster tp ko masih status kuning ya di aplikasinya?
